編號,屬性,機構名稱,負責人,鄉鎮別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
31,私立 ,雲林縣私立新樂園老人長期照顧中心〈養護型〉,蔡順正,虎尾鎮,雲林縣虎尾鎮三合里10鄰吳厝59號,05-6621559,養護,49(含插2管24床),97.07,23.6863516,120.3965389
32,私立,雲林縣私立柏翔老人養護中心,陳羽睖,虎尾鎮,雲林縣虎尾鎮下溪里大庄73之58號,05-6225088,養護,46(含插2管23床),102.3,23.712611,120.459434
33,私立,雲林縣私立雙福寶佛門老人養護中心,黃素梅,虎尾鎮,雲林縣虎尾鎮平和里平和厝68之3號,05-6314899,養護,48(含插2管24床),92.03,23.703401,120.455024
34,私立,雲林縣私立伊甸園老人長期照顧中心〈養護型〉,林珠,虎尾鎮,雲林縣虎尾鎮下溪里大庄76-16號,05-6326767,養護,49(含插2管24床),102.3,23.7052359,120.4602287
35,私立,雲林縣私立孝親養源老人長期照顧中心(養護型),廖  閂,虎尾鎮,雲林縣虎尾鎮墾地里1鄰虎興西八路368號,05-5529091,養護,49(含插2管24床),102.8,23.733465,120.4097699
36,私立,雲林縣私立健群老人長期照顧中心(養護型),蔡杰霖,虎尾鎮,雲林縣虎尾鎮平和里平和路35號,05-6362786,養護,36(含插2管18床),103.12,23.7045739,120.4550243
37,私立,雲林縣私立源春老人長期照顧中心〈養護型〉,莊大日,崙背鄉,雲林縣崙背鄉崙前村16鄰面前厝60號,05-6964007,養護,49(含插2管24床),101.8,23.7500283,120.3325817
38,私立,雲林縣私立祐康老人養護中心,林鳳玉,崙背鄉,雲林縣崙背鄉港尾村新鎮路45之3號,05-6969110,養護,20,99.13,23.7535218,120.3741235
39,私立,雲林縣私立三和老人長期照顧中心(長期照護型),林玉花,褒忠鄉,雲林縣褒忠鄉中民村大部路2-68號,05-6973618,長照,49,99.06,23.704372,120.318776
40,私立,雲林縣私立天主教聖家老人長期照顧中心（長期照護型）, 林嘉祈,虎尾鎮,雲林縣虎尾鎮下溪里8鄰大庄1-39號,05-6226830,長照,44,105.4,23.713175,120.463296
41,私立,雲林縣私立吉祥老人長期照顧中心(養護型),張靜娟,元長鄉,雲林縣元長鄉南村8鄰中山路9-100號,05-7888699,養護,49,105.4,23.6447539,120.3127508
